57787799	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 10:57:42	43.07228	5.98763	"GOOD"
57787795	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 10:52:41	43.07478	5.98497	"GOOD"
57787782	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 10:48:45	43.07726	5.98375	"GOOD"
57787766	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 10:44:45	43.07504	5.98469	"GOOD"
57787734	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 10:39:43	43.07531	5.98416	"GOOD"
57787728	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 10:34:42	43.07558	5.98416	"GOOD"
57787709	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 10:30:23	43.07579	5.98412	"GOOD"
57787687	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 10:24:43	43.07611	5.98412	"GOOD"
57787670	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 10:19:48	43.07637	5.98412	"GOOD"
57787279	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 10:14:47	43.07658	5.98412	"GOOD"
57787258	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 10:09:47	43.07678	5.98409	"GOOD"
57787206	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 10:04:44	43.07701	5.98412	"GOOD"
57787094	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 09:59:46	43.0772	5.98416	"GOOD"
57787085	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 09:54:45	43.07737	5.98418	"GOOD"
57787064	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 09:49:46	43.07759	5.98416	"GOOD"
57787052	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 09:44:45	43.0778	5.98422	"GOOD"
57787037	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 09:39:47	43.07796	5.98431	"GOOD"
57787028	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 09:34:46	43.07811	5.98439	"GOOD"
57787009	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 09:30:24	43.07823	5.98444	"GOOD"
57786992	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 09:24:46	43.07891	5.98435	"GOOD"
57786972	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 09:19:48	43.07913	5.98422	"GOOD"
57786575	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 09:14:47	43.0746	5.98789	"GOOD"
57786553	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 09:09:49	43.0621	5.9954	"GOOD"
57786507	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 09:04:47	43.04965	6.00158	"GOOD"
57786390	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 08:59:50	43.0372	6.00671	"GOOD"
57786391	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 08:54:50	43.0336	6.00654	"GOOD"
57786355	"0-4407160"	"0-4407160  (70621208)"	2024-10-18 08:49:50	43.0338	6.00465	"GOOD"
